ID,이름,설명,가격,시간,계절,등급,맵 ID
IFR01,딸기,딸기가 좋아!,10,GTS01,WWS,노멀,MN03
IFR02,사과,빨가면 사과,5,GTS00,WAS,노멀,MN03
IFR03,포도,새콤 달콤,5,GTS02,WFA,노멀,MN03
IFR04,블루베리,아기 자기!,10,GTS09,WFW,노멀,MN03
IFR05,토마토,축제다!,5,GTS11,WSF,노멀,MN03
IFR06,파인애플,단단한 갑옷!,15,GTS05,WSU,스페셜,MN04
IFR07,호박,할로윈에 필수야!,15,GTS06,WFW,노멀,MN04
IFR08,고구마,겨울에 기대돼!,10,GTS06,WWT,노멀,MN03
IFR09,죽순,최고!,20,GTS05,WSP,노멀,MN04
IFR10,수박,여름이 기대돼!,25,GTS06,WSU,노멀,MN04
IFR11,무화과,과일의 여왕,15,GTS05,WSU,노멀,MN03
IFR12,귤,겨울에 필수!,10,GTS11,WFW,노멀,MN03
IFR13,두리안,으악! 냄새!,25,GTS12,WSU,스페셜,MN09
IFR14,바나나,바나나는 길어,10,GTS10,WSS,노멀,MN09
IFR15,망고,노랗고 상큼해,15,GTS09,WSS,노멀,MN09
IFR16,체리,알알이 상큼~,10,GTS08,WSS,노멀,MN04
IFR17,배,시원한 과즙!,5,GTS00,WSF,노멀,MN03
IFR18,복숭아,달콤하지만 털을 조심해!,10,GTS02,WSU,노멀,MN03
IFR19,야자열매,이거 껍질 어떻게 까지??,20,GTS05,WSU,스페셜,MN09
IFR20,감자,동글 동글 감자,10,GTS01,WAS,노멀,MN03
IFR21,콩,콩이야! 동글 동글,5,GTS01,WAS,노멀,MN03
IFR22,꿀,혀가 마비되는 단맛! 벌을 조심해!,20,GTS11,WSF,노멀,MN04
IFR23,샤인머스켓,달달‚ 아삭 최고다!,30,GTS12,WFW,스페셜,MN04
IFR24,배추,튼실한 배추‚ 아삭 아삭,15,GTS02,WFW,노멀,MN05
IFR25,양파,눈물이 흐를 것 같아,10,GTS02,WSU,노멀,MN05
IFR26,대파,거대한 파??!!,10,GTS03,WSU,노멀,MN05
IFR27,마늘,뭔가 퇴치할 수 있을 것 같아,5,GTS03,WSU,노멀,MN05
IFR28,당근,토끼의 최고 간식!,10,GTS00,WAS,노멀,MN05
IFR29,사탕수수,먹으면 달달 한가?,15,GTS05,WAS,노멀,MN05
IFR30,고추,우와! 매워!,15,GTS01,WSU,노멀,MN05
IFR31,암염,짭짤한 맛이 나는 것 같아,10,GTS00,WAS,노멀,MN04
IFR32,쌀,보기만해도 든든하다,10,GTS02,WFA,노멀,MN05
IFR33,밀,여러가지 요리를 만들 수 있겠어,10,GTS02,WFA,노멀,MN05
IFR34,형제 버섯,버섯 형과 버섯 동생!,15,GTS09,WSU,노멀,MN02
IFR35,주황 버섯,먹음직 스럽게 생겼다,10,GTS08,WAS,노멀,MN02
IFR36,산속 버섯,산에서 평범하게 자라는 버섯,5,GTS00,WAS,노멀,MN02
IFR37,초록 버섯,독 버섯 아닙니다!,10,GTS02,WAS,노멀,MN02
IFR38,갓 버섯,갓 쓴거 자랑하는 버섯,10,GTS02,WAS,노멀,MN02
IFR39,달달 버섯,팥 같은 달달함이‚‚,20,GTS05,WFW,스페셜,MN02
