StoryID,StoryName,PreviousStoryID,NextStoryID,Intimacy,EventType,EventTypeCondition,EventTypeQuantity,StoryStartPoint,MapID,TalkPandaID,Conversation,CheckStorySuccessOrFailure,ConversationOptionID,OptionA_Text,OptionA_ConversationOptionID,OptionB_Text,OptionB_ConversationOptionID,ClearRewardType,RewardItemID,RewardQuantity,ClearRewardIntimacy
SS1001A,,SS1099Z,,,0,,,NPC10,MN06,NPC10,챱챱챱,,,,,,,,,,1
SS1001A,,,,,,,,,,,엄마가 모르는 판다 따라가지 말라그랬어!,END,,,,,,,,,
SS1002A,,SS1001A,,5,LOVE MOUNT,,,NPC10,MN06,NPC10,아이 왜 자꾸 모르는 사인데 말을 거는 거야!,,,,,,,,,,5
SS1002A,,,,,,,,,,POYA00,내 이름은 포야라고해,,,,,,,,,,
SS1002A,,,,,,,,,,NPC10,그럼 이제 아는 사람이네?! 난 추추!,,,,,,,,,,
SS1002A,,,,,,,,,,POYA00,"아,, 그래?(아는 사이로 발전은 간단한거구나)",END,,,,,,,,,
SS1003A,,SS1002A,,15,LOVE MOUNT,,,NPC10,MN06,NPC10,포야!! 안녕!!,,,,,,,,,,
SS1003A,,,,,,,,,,POYA00,아 추추도 안녕,,,,,,,,,,
SS1003A,,,,,,,,,,NPC01,나는 왜 인사 안해,,,,,,,,,,
SS1003A,,,,,,,,,,NPC10,누구세요?,END,,,,,,,,,1
