StoryID,StoryName,PreviousStoryID,NextStoryID,Intimacy,EventType,EventTypeCondition,EventTypeQuantity,StoryStartPoint,MapID,TalkPandaID,Conversation,CheckStorySuccessOrFailure,ConversationOptionID,OptionA_Text,OptionA_ConversationOptionID,OptionB_Text,OptionB_ConversationOptionID,ClearRewardType,RewardItemID,RewardQuantity,ClearRewardIntimacy
SS4601A,,MS01L,SS4602A,,,,,NPC46,MN09,NPC46,캐슬 냥에 들어갈 준비는 끝난거야?,END,,,,,,,,,
SS4602A,,MS01M_2,SS4603A,,,,,NPC46,MN09,POYA00,쿤쿤. 너 국왕 폐하 심부름은 똑바로 한거야?,,,,,,,,,,
SS4602A,,,,,,,,,,NPC46,난 심부름은 똑바로 했는데? 무슨일이야?,,,,,,,,,,
SS4602A,,,,,,,,,,NPC46,꽃집 '로지'에게 분명히 편지를 전달했다구! ,,,,,,,,,,
SS4602A,,,,,,,,,,NPC46,밤에 주인도 없길래 간식도 사먹고. 불꽃 놀이도 구경하고. 좀 놀러다녔지만. 중얼 중얼 중얼,,,,,,,,,,
SS4602A,,,,,,,,,,NPC46,... 하여튼 나는 가게에는 똑바로 전달했다구!!,,,,,,,,,,
SS4602A,,,,,,,,,,NPC46,생각해보니 전달한건가? 심부름이란 무엇인가. 직접 전달해라고 명령하셨던건가? 중얼 중얼,,,,,,,,,,
SS4602A,,,,,,,,,,NPC01,너는 이제 돌아가면 혼났다! 히히히,,,,,,,,,,
SS4602A,,,,,,,,,,NPC46,덜덜덜... 놀다가 잠잠해지면 돌아가야겠다.,END,,,,,,,,,
SS4603A,,SS4602A,SS4604A,,,,,NPC46,MN09,NPC46,편지는 꽃집 '로지'에게 분명히 전달했다구! ,,,,,,,,,,1
SS4603A,,,,,,,,,,NPC46,...가게에,END,,,,,,,,,
SS4604A,,MS01M_4,SS4605A,,,,,NPC46,MN09,NPC46,국왕 폐하의 구원자!,,,,,,,,,,1
