스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,이벤트 타입 수량,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS1001A,,SS1099Z,,,0,,,NPC10,MN06,NPC10,챱챱챱,,,,,,,,,,1
,,,,,,,,,,,엄마가 모르는 판다 따라가지 말라그랬어!,END,,,,,,,,,
SS1002A,,SS1001A,,5,LOVE MOUNT,,,NPC10,MN06,NPC10,아이 왜 자꾸 모르는 사인데 말을 거는 거야!,,,,,,,,,,5
,,,,,,,,,,POYA00,내 이름은 포야라고해,,,,,,,,,,
,,,,,,,,,,NPC10,그럼 이제 아는 사람이네?! 난 추추!,,,,,,,,,,
,,,,,,,,,,POYA00,"아,, 그래?(아는 사이로 발전은 간단한거구나)",END,,,,,,,,,
SS1003A,,SS1002A,,15,LOVE MOUNT,,,NPC10,MN06,NPC10,포야!! 안녕!!,,,,,,,,,,
,,,,,,,,,,POYA00,아 추추도 안녕,,,,,,,,,,
,,,,,,,,,,NPC01,나는 왜 인사 안해,,,,,,,,,,
,,,,,,,,,,NPC10,누구세요?,END,,,,,,,,,
