스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,이벤트 타입 수량,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS1901A,,SS1999Z,,0,,,,NPC19,MN15,NPC19,아이스크림 좀 드셔보세요! 재밌어요!,END,,,,,,,,,1
SS1902A,,SS1901A,,3,,,,NPC19,MN15,NPC01,한번 먹어볼까?,,,,,,,,,,1
,,,,,,,,,,NPC19,꼬마 도련님 한번 잡아 보시겠어요?,,,왼 쪽,CHOICE_A,오른 쪽,CHOICE_B,,,,
,,,,,,,,,,NPC19,오우 날쌘 돌이 도련님! 한 번에 잡았네요. 하지만 재미는 없죠?,FAIL,CHOICE_B,,,,,,,,
,,,,,,,,,,NPC19,느림보 도련님! 아쉬웠어요! 이번엔 어느쪽?,DONE,CHOICE_A,왼 쪽,CHOICE_A,오른 쪽,CHOICE_B,,,,
,,,,,,,,,,NPC19,오우 날쌘 돌이 도련님! 한 번에 잡았네요. 하지만 재미는 없죠?,FAIL,CHOICE_B,,,,,,,,
,,,,,,,,,,NPC19,느림보 도련님! 아쉬웠어요! 이번엔 어느쪽?,DONE,CHOICE_A,왼 쪽,CHOICE_A,오른 쪽,CHOICE_B,,,,
,,,,,,,,,,NPC19,오우 날쌘 돌이 도련님! 한 번에 잡았네요. 하지만 재미는 없죠?,DONE,CHOICE_A,,,,,,,,
,,,,,,,,,,NPC19,오우 날쌘 돌이 도련님! 한 번에 잡았네요. 하지만 재미는 없죠?,DONE,CHOICE_B,,,,,,,,
,,,,,,,,,,NPC19,다음에 또 도전해보세요!,END,,,,,,,,,
