스토리ID,스토리 이름,이전 스토리ID,다음 스토리ID,친밀도,이벤트 타입,이벤트 타입 조건,스토리 스타트 포인트,맵 ID,talkPandaID,일반 대화,스토리 성공 실패 체크,대화 선택지 ID,선택A_텍스트,선택지A_대화 이동 ID,선택B_텍스트,선택지B_대화 이동 ID,클리어 보상 타입,보상 아이템 ID,보상 수량,클리어 보상 친밀도
SS2001A,,SS2099Z,SS2002A,0,,,NPC20,MN06,NPC20,나는 낮의 시장을 관리하지,,,,,,,,,,1
SS2002A,,SS2001A,SS2003A,3,,,NPC20,MN06,NPC20,위험한 일이 있으면 나에게 말하라고 ~,,,,,,,,,,1
SS2003A,,SS2002A,SS2003B,5,,,NPC20,MN06,NPC20,시장에 관해 궁금한 일이 있으면 나에게 말하라고 ~,,,,,,,,,,1
SS2003B,,SS2003A,SS2004A,5,IVCK,붕어빵,NPC20,MN06,POYA00,레지 그레이! 나 시장에 관해 궁금한 게 생겼는데,,,,,,,,,,
,,,,,,,,,NPC20,그게 뭔데 포야?,,,,,,,,,,
,,,,,,,,,POYA00,내가 정말 좋은 아이디어가 생각나서 가게를 하나 차리고 싶은데 가게를 차리려면 어떻게 해야해??,,,,,,,,,,
,,,,,,,,,NPC20,오 포야 좋은 생각인걸? 어떤 가게를 차릴 생각인데??,,,,,,,,,,
,,,,,,,,,POYA00,내가 요리를 하다가 붕어빵을 만들었지 뭐야 붕어빵 가게를 하고 싶어,,,,,,,,,,
,,,,,,,,,NPC20,붕어빵 가게라고? 정말 좋은 아이디어인걸??,,,,,,,,,,
,,,,,,,,,POYA00,그치?! 가게를 차리려면 어떤 것들이 필요해??,,,,,,,,,,
,,,,,,,,,NPC20,"음,, 먼저 돈은 1000000죽순 정도에 기술자들도 필요하고 재료도 필요하니 한 3년은 걸릴거고 안전 확인이랑...",,,,,,,,,,
,,,,,,,,,POYA00,뭐??? 그냥 나 탐정 사무소를 열심히 운영해볼게...,,,,,,,,,,
,,,,,,,,,NPC20,그래 포야 잘 생각했어~ 너가 탐정 사무소를 열심히 운영할 수 있도록 내가 가구 하나 선물해줄게!,,,,,,,,,,
,,,,,,,,,POYA00,"고마워 레지,,,,",,,,,,,IVFU,RN01A,1,20
SS2004A,,SS2003B,SS2005A,25,,,NPC20,MN06,NPC20,낮에는 내가 밤에는 레지가 시장을 관리하지!,,,,,,,,,,1
